Name,Rating,Reviews,URL,Description,Location
Tempe Marketplace,4.3,153,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/bf/f4/30/tempe-marketplace-creates.jpg?w=500&h=-1&s=1,"With 1.3 million square feet of retail space to explore and over 100 shops and restaurants to choose from, Tempe Marketplace is the ultimate destination for Valley natives and out of town visitors…","Tempe, Arizona"
Mill Avenue District,4.3,766,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b2/8a/2b/photo1jpg.jpg?w=500&h=400&s=1,"This is a shopping, dining, nightlife area. It's similar to 5th Ave and Old Town in Scottsdale, which are listed on tripadvisor.","Tempe, Arizona"
SEA LIFE Arizona Aquarium,4.1,650,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/56/d5/ed/sea-life-aquarium.jpg?w=500&h=400&s=1,"Dive in to SEA LIFE Arizona! Be wowed by the many strange, beautiful and fascinating creatures of the deep as you journey through an amazing underwater world. Prepare for astonishingly close views…","Tempe, Arizona"
Arizona Mills,3.9,402,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/86/d6/06/imax.jpg?w=500&h=400&s=1,"Welcome to Arizona Mills, the state’s largest indoor, climate controlled outlet, value and entertainment destination! With over 185 stores to choose from including H & M, NIKE Clearance Store, Forever…","Tempe, Arizona"
Tempe Town Lake,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d9/08/d7/sunset.jpg?w=500&h=-1&s=1,"Enjoy leisurely strolls, bicycling, kayaking, standup paddleboard and more. There are more than 50 special events annually at Tempe Town Lake, from Ironman Arizona to great concerts, Way Out West …","Tempe, Arizona"
Legoland Discovery Center,4.0,324,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/71/cd/0a/character-meet-and-greets.jpg?w=500&h=400&s=1,"LEGOLAND(R) Discovery Center Arizona is a 40,000 square-foot indoor attraction featuring more than one million LEGO(R) bricks, LEGO(R) themed rides, a 4-D cinema and themed build-and-play areas providing…","Tempe, Arizona"
Tempe History Museum,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/81/29/78/tempe-historical-museum.jpg?w=500&h=-1&s=1,"The Tempe History Museum explores Tempe's history by telling the stories of people who have lived here from our Native American ancestors to present day. The exhibits, and programs are designed to…","Tempe, Arizona"
Mountain America Stadium,3.9,130,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/b0/bd/20/sun-devil-stadium.jpg?w=500&h=400&s=1,Football stadium where the Arizona State Sun Devils and the NFL's Arizona Cardinals play their home games.,"Tempe, Arizona"
AZ Heritage Center at Papago Park,4.4,52,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/94/a6/b2/take-a-photo-with-bob.jpg?w=500&h=400&s=1,"Home of the Centennial Museum, celebrating more than 100 years of Arizona history. Exhibits focus on the history and growth of Central Arizona, particularly the metropolitan Phoenix area. Walk through…","Tempe, Arizona"
Kiwanis Recreation Center,4.9,7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/7e/de/75/getlstd-property-photo.jpg?w=500&h=400&s=1,"The Kiwanis Recreation Center is a beautiful 54,000 square foot complex. Facility amenities include an indoor wave pool, fitness center, gymnasium, corporate ramada area, classrooms and a 15-court…","Tempe, Arizona"
